id,fake,real
TEST_00000,0.9916636,0.008336441
TEST_00001,0.8127629,0.18723708
TEST_00002,0.8200613,0.17993869
TEST_00003,0.0011827546,0.99881727
TEST_00004,0.24088871,0.7591113
TEST_00005,2.0549234e-05,0.9999795
TEST_00006,0.055811733,0.9441883
TEST_00007,0.00017747284,0.99982256
TEST_00008,0.00028533395,0.9997147
TEST_00009,0.008088774,0.99191123
TEST_00010,0.9983759,0.0016240365
TEST_00011,0.91248614,0.08751387
TEST_00012,1.2423763e-07,0.9999999
TEST_00013,0.42496687,0.5750331
TEST_00014,0.9996117,0.00038829405
TEST_00015,0.29974154,0.7002585
TEST_00016,0.007414095,0.99258596
TEST_00017,0.15393597,0.84606403
TEST_00018,2.4988247e-09,1.0
TEST_00019,0.20104708,0.79895294
TEST_00020,0.09684239,0.9031576
TEST_00021,0.071470685,0.9285293
TEST_00022,0.06009355,0.9399065
TEST_00023,0.96825,0.03175001
TEST_00024,0.5539755,0.44602442
TEST_00025,0.9922037,0.0077963374
TEST_00026,0.8380612,0.16193877
TEST_00027,0.27261087,0.72738916
TEST_00028,0.9722564,0.027743574
TEST_00029,0.999944,5.6013345e-05
TEST_00030,0.48089883,0.5191012
TEST_00031,0.2669618,0.73303825
TEST_00032,0.99995947,4.0577903e-05
TEST_00033,0.00055743195,0.9994425
TEST_00034,3.401693e-05,0.999966
TEST_00035,0.027773093,0.9722269
TEST_00036,0.20089002,0.79910994
TEST_00037,0.44434908,0.5556509
TEST_00038,0.41803902,0.581961
TEST_00039,0.9944693,0.005530683
TEST_00040,0.6112089,0.38879108
TEST_00041,0.0010382284,0.9989618
TEST_00042,0.0040777796,0.9959222
TEST_00043,1.1130265e-06,0.9999989
TEST_00044,0.9453823,0.05461765
TEST_00045,0.5014695,0.49853045
TEST_00046,0.0055949423,0.99440503
TEST_00047,0.043600403,0.9563996
TEST_00048,0.3642452,0.6357548
TEST_00049,9.031023e-09,1.0
TEST_00050,0.53034467,0.4696553
TEST_00051,0.07651996,0.92348003
TEST_00052,0.037686374,0.9623136
TEST_00053,0.99704605,0.0029540146
TEST_00054,0.9799595,0.02004046
TEST_00055,0.9936892,0.006310784
TEST_00056,0.88338035,0.11661963
TEST_00057,3.9792245e-05,0.9999602
TEST_00058,0.5589686,0.4410315
TEST_00059,0.65198517,0.34801483
TEST_00060,0.039973665,0.9600263
TEST_00061,0.00012873604,0.99987125
TEST_00062,0.024897175,0.97510284
TEST_00063,0.037308045,0.96269196
TEST_00064,0.23048969,0.7695104
TEST_00065,0.012407835,0.98759216
TEST_00066,0.09942913,0.90057087
TEST_00067,0.6878379,0.31216216
TEST_00068,0.00016956897,0.99983037
TEST_00069,0.72761726,0.27238268
TEST_00070,0.2368301,0.7631699
TEST_00071,0.8984467,0.101553276
TEST_00072,0.14606418,0.85393584
TEST_00073,9.849105e-07,0.99999905
TEST_00074,0.97313005,0.026869876
TEST_00075,0.017181877,0.9828181
TEST_00076,0.6158801,0.38412
TEST_00077,0.2133057,0.7866943
TEST_00078,1.11639174e-07,0.9999999
TEST_00079,0.63661075,0.36338934
TEST_00080,0.5226444,0.47735557
TEST_00081,0.9968646,0.00313536
TEST_00082,0.019623747,0.98037624
TEST_00083,0.0015973152,0.99840266
TEST_00084,0.9573134,0.04268655
TEST_00085,0.010446516,0.98955345
TEST_00086,0.15981233,0.8401877
TEST_00087,0.99684274,0.0031572145
TEST_00088,0.1825812,0.81741875
TEST_00089,0.027700035,0.97229993
TEST_00090,0.6442339,0.35576612
TEST_00091,1.6364294e-05,0.99998367
TEST_00092,0.24182177,0.75817823
TEST_00093,0.00027326663,0.9997267
TEST_00094,0.013235176,0.9867648
TEST_00095,0.89618146,0.10381852
TEST_00096,0.0029357781,0.9970642
TEST_00097,0.019295856,0.9807042
TEST_00098,0.7759668,0.22403313
TEST_00099,0.06006655,0.9399334
TEST_00100,0.98867214,0.011327882
TEST_00101,0.9517897,0.048210297
TEST_00102,0.0026049765,0.99739504
TEST_00103,0.4109215,0.58907855
TEST_00104,0.75540316,0.2445968
TEST_00105,0.01430325,0.9856968
TEST_00106,0.9972813,0.0027186275
TEST_00107,0.16408475,0.8359152
TEST_00108,5.552569e-14,1.0
TEST_00109,0.1786797,0.8213203
TEST_00110,0.095599785,0.9044002
TEST_00111,0.26217508,0.7378249
TEST_00112,0.734588,0.265412
TEST_00113,0.86673385,0.13326614
TEST_00114,0.020839801,0.97916013
TEST_00115,0.57935494,0.42064503
TEST_00116,0.0044840313,0.995516
TEST_00117,0.9995881,0.0004119417
TEST_00118,0.9270884,0.07291158
TEST_00119,0.011630659,0.98836935
TEST_00120,0.2647008,0.7352992
TEST_00121,0.027744446,0.9722555
TEST_00122,0.010184631,0.98981535
TEST_00123,0.9999993,7.0228344e-07
TEST_00124,0.011672634,0.9883273
TEST_00125,0.98779416,0.012205815
TEST_00126,3.0963976e-05,0.999969
TEST_00127,0.9999745,2.5478208e-05
TEST_00128,0.9971173,0.0028827337
TEST_00129,0.44845822,0.55154175
TEST_00130,0.9141061,0.085893944
TEST_00131,0.00086396746,0.99913603
TEST_00132,4.3494947e-06,0.9999957
TEST_00133,0.0026025937,0.9973974
TEST_00134,0.00093165506,0.9990683
TEST_00135,0.8413956,0.1586044
TEST_00136,0.52829385,0.47170615
TEST_00137,0.4898947,0.5101053
TEST_00138,0.26004115,0.7399589
TEST_00139,0.61977506,0.3802249
TEST_00140,0.7272219,0.27277803
TEST_00141,1.0353654e-06,0.9999989
TEST_00142,0.34918952,0.6508104
TEST_00143,0.5503936,0.44960642
TEST_00144,0.3237482,0.67625177
TEST_00145,0.637886,0.362114
TEST_00146,0.07055595,0.9294441
TEST_00147,0.18522026,0.81477976
TEST_00148,0.15524046,0.8447595
TEST_00149,0.033682577,0.9663174
TEST_00150,0.16351162,0.83648837
TEST_00151,0.91140205,0.088598
TEST_00152,0.00038851332,0.99961156
TEST_00153,0.68918324,0.31081676
TEST_00154,0.44582054,0.5541795
TEST_00155,0.16609907,0.8339009
TEST_00156,0.98354936,0.016450677
TEST_00157,0.4164719,0.5835281
TEST_00158,0.63650453,0.36349544
TEST_00159,0.02389441,0.9761055
TEST_00160,0.0032181647,0.9967818
TEST_00161,0.07274432,0.9272557
TEST_00162,0.36106884,0.63893116
TEST_00163,0.19348653,0.8065135
TEST_00164,0.9915291,0.008470865
TEST_00165,0.92309505,0.07690495
TEST_00166,0.9990883,0.00091174373
TEST_00167,0.013994583,0.9860054
