id,fake,real
TEST_00000,0.9960258,0.0039741434
TEST_00001,0.87205005,0.12794994
TEST_00002,0.9718702,0.028129825
TEST_00003,0.10444739,0.8955526
TEST_00004,0.3858641,0.61413586
TEST_00005,0.04299721,0.9570028
TEST_00006,0.22324549,0.77675444
TEST_00007,0.040530544,0.9594695
TEST_00008,0.06368054,0.9363195
TEST_00009,0.07468876,0.92531127
TEST_00010,0.99979657,0.00020345801
TEST_00011,0.73315245,0.26684752
TEST_00012,1.5249665e-06,0.99999845
TEST_00013,0.6070665,0.39293352
TEST_00014,0.999966,3.398467e-05
TEST_00015,0.2668373,0.73316264
TEST_00016,0.013588521,0.9864115
TEST_00017,0.30547738,0.6945226
TEST_00018,5.403262e-05,0.999946
TEST_00019,0.5611971,0.43880293
TEST_00020,0.018847656,0.9811523
TEST_00021,0.4342966,0.5657034
TEST_00022,0.2517641,0.74823594
TEST_00023,0.96272576,0.037274223
TEST_00024,0.3818601,0.61814
TEST_00025,0.9989674,0.0010325486
TEST_00026,0.84871143,0.15128852
TEST_00027,0.43709895,0.562901
TEST_00028,0.9725053,0.027494734
TEST_00029,0.999998,2.0510718e-06
TEST_00030,0.47498882,0.5250111
TEST_00031,0.5432515,0.4567485
TEST_00032,0.99993956,6.041116e-05
TEST_00033,0.117780514,0.8822195
TEST_00034,0.016285777,0.98371416
TEST_00035,0.090421125,0.9095789
TEST_00036,0.34557757,0.65442246
TEST_00037,0.3403126,0.6596874
TEST_00038,0.5729242,0.42707586
TEST_00039,0.9976956,0.0023043577
TEST_00040,0.55252635,0.44747356
TEST_00041,0.06783856,0.9321614
TEST_00042,0.30280086,0.69719917
TEST_00043,0.0027843441,0.9972156
TEST_00044,0.8649138,0.13508615
TEST_00045,0.74984556,0.25015444
TEST_00046,0.027718555,0.97228146
TEST_00047,0.06439906,0.9356009
TEST_00048,0.14611751,0.8538825
TEST_00049,7.342225e-06,0.9999926
TEST_00050,0.44923303,0.550767
TEST_00051,0.20818809,0.7918119
TEST_00052,0.55659413,0.4434059
TEST_00053,0.998858,0.0011420778
TEST_00054,0.99554235,0.0044577187
TEST_00055,0.9997452,0.00025481635
TEST_00056,0.6997049,0.30029514
TEST_00057,0.0055000274,0.9944999
TEST_00058,0.572101,0.42789906
TEST_00059,0.7348532,0.26514676
TEST_00060,0.033807028,0.96619296
TEST_00061,0.062779106,0.93722093
TEST_00062,0.032293275,0.9677067
TEST_00063,0.16315243,0.8368476
TEST_00064,0.4858229,0.51417714
TEST_00065,0.056222722,0.9437773
TEST_00066,0.2887475,0.7112525
TEST_00067,0.71362007,0.2863799
TEST_00068,0.0028777202,0.9971222
TEST_00069,0.7229805,0.27701956
TEST_00070,0.42256483,0.57743514
TEST_00071,0.937402,0.06259805
TEST_00072,0.34834218,0.65165776
TEST_00073,3.9218985e-06,0.99999607
TEST_00074,0.9760039,0.023996146
TEST_00075,0.18950936,0.8104906
TEST_00076,0.64060104,0.35939893
TEST_00077,0.30679965,0.69320035
TEST_00078,4.5873044e-06,0.99999547
TEST_00079,0.7946929,0.20530707
TEST_00080,0.56474984,0.4352501
TEST_00081,0.9989322,0.0010678407
TEST_00082,0.09831388,0.90168613
TEST_00083,0.22044267,0.7795573
TEST_00084,0.9667386,0.033261433
TEST_00085,0.038851906,0.961148
TEST_00086,0.48506948,0.51493055
TEST_00087,0.9995053,0.0004947487
TEST_00088,0.558403,0.44159693
TEST_00089,0.165283,0.83471704
TEST_00090,0.24550791,0.7544921
TEST_00091,0.0043007145,0.9956993
TEST_00092,0.62770474,0.37229523
TEST_00093,0.021774547,0.97822547
TEST_00094,0.010294382,0.98970556
TEST_00095,0.9422212,0.057778765
TEST_00096,0.06533581,0.93466413
TEST_00097,0.1003348,0.89966524
TEST_00098,0.21452439,0.7854756
TEST_00099,0.0879583,0.91204166
TEST_00100,0.9970649,0.0029351057
TEST_00101,0.91663027,0.08336973
TEST_00102,0.11320866,0.88679135
TEST_00103,0.4849759,0.51502407
TEST_00104,0.550852,0.44914806
TEST_00105,0.07215561,0.9278444
TEST_00106,0.9671409,0.032859072
TEST_00107,0.3922355,0.6077644
TEST_00108,1.2544588e-06,0.9999987
TEST_00109,0.51706123,0.4829388
TEST_00110,0.32144895,0.6785511
TEST_00111,0.25292096,0.747079
TEST_00112,0.67857903,0.32142103
TEST_00113,0.7842025,0.21579744
TEST_00114,0.28771782,0.7122821
TEST_00115,0.58934695,0.41065297
TEST_00116,0.31467113,0.68532884
TEST_00117,0.9997404,0.00025956897
TEST_00118,0.6021658,0.3978342
TEST_00119,0.038362343,0.9616377
TEST_00120,0.41778037,0.5822196
TEST_00121,0.0119548105,0.98804516
TEST_00122,0.1174568,0.88254315
TEST_00123,1.0,3.418722e-08
TEST_00124,0.35176754,0.64823246
TEST_00125,0.9972134,0.0027866066
TEST_00126,0.00051843,0.9994816
TEST_00127,0.9999989,1.068958e-06
TEST_00128,0.99825233,0.0017476643
TEST_00129,0.49029154,0.50970846
TEST_00130,0.94488907,0.055110972
TEST_00131,0.042877425,0.95712256
TEST_00132,0.056200683,0.9437993
TEST_00133,0.21108803,0.78891194
TEST_00134,0.024820037,0.9751799
TEST_00135,0.9625929,0.037407134
TEST_00136,0.31601864,0.68398136
TEST_00137,0.55515915,0.44484085
TEST_00138,0.5837735,0.41622648
TEST_00139,0.06651318,0.93348676
TEST_00140,0.8320805,0.1679195
TEST_00141,0.0041721775,0.99582785
TEST_00142,0.18861799,0.81138206
TEST_00143,0.3694578,0.6305422
TEST_00144,0.50482714,0.49517283
TEST_00145,0.55191964,0.4480803
TEST_00146,0.16861153,0.8313885
TEST_00147,0.5168679,0.48313212
TEST_00148,0.47117236,0.5288276
TEST_00149,0.33807102,0.661929
TEST_00150,0.14950237,0.85049766
TEST_00151,0.9126922,0.087307826
TEST_00152,0.0803255,0.9196745
TEST_00153,0.38054284,0.6194571
TEST_00154,0.5846919,0.4153081
TEST_00155,0.24386512,0.75613487
TEST_00156,0.98778963,0.012210381
TEST_00157,0.25356543,0.74643457
TEST_00158,0.5904778,0.40952212
TEST_00159,0.250754,0.74924594
TEST_00160,0.1442529,0.8557471
TEST_00161,0.42342415,0.5765759
TEST_00162,0.2916274,0.7083726
TEST_00163,0.35775185,0.6422482
TEST_00164,0.5339981,0.46600187
TEST_00165,0.85535234,0.14464769
TEST_00166,0.9998242,0.00017577289
TEST_00167,0.13315411,0.8668459
TEST_00168,0.4800675,0.51993245
TEST_00169,0.018994607,0.98100543
TEST_00170,9.9870485e-05,0.9999001
TEST_00171,0.99975413,0.0002459173
TEST_00172,0.8816827,0.118317276
TEST_00173,0.9999994,5.9293893e-07
TEST_00174,0.64123476,0.35876524
TEST_00175,0.2920248,0.7079752
TEST_00176,0.88563573,0.11436422
TEST_00177,0.0002312748,0.9997687
TEST_00178,0.8121104,0.18788955
TEST_00179,0.9991819,0.00081805827
TEST_00180,0.5233881,0.47661188
TEST_00181,0.0055979304,0.9944021
TEST_00182,0.0041875574,0.9958125
TEST_00183,0.7579926,0.24200736
TEST_00184,0.99846053,0.0015395039
TEST_00185,0.0029874525,0.9970125
TEST_00186,0.9727883,0.02721169
TEST_00187,0.15767927,0.84232074
TEST_00188,0.595046,0.404954
TEST_00189,0.014973719,0.9850263
TEST_00190,0.3717462,0.6282538
TEST_00191,0.29432136,0.70567864
TEST_00192,0.7212788,0.2787212
TEST_00193,0.98943526,0.0105647305
TEST_00194,0.19455895,0.805441
TEST_00195,0.5952922,0.4047078
TEST_00196,0.99921715,0.0007828048
TEST_00197,0.03310993,0.9668901
TEST_00198,0.7857458,0.21425423
TEST_00199,4.0082577e-05,0.99995995
TEST_00200,0.9995747,0.0004252462
TEST_00201,0.28855568,0.7114443
TEST_00202,0.09481229,0.9051877
TEST_00203,0.08143978,0.9185602
TEST_00204,0.45873472,0.5412653
TEST_00205,0.57224524,0.4277548
TEST_00206,0.9999527,4.72729e-05
TEST_00207,0.08425828,0.91574174
TEST_00208,0.9457862,0.0542138
TEST_00209,0.23157863,0.76842135
TEST_00210,0.9998883,0.00011165404
TEST_00211,0.0016745252,0.9983255
TEST_00212,0.0009715507,0.99902844
TEST_00213,0.999944,5.5994493e-05
TEST_00214,0.91401154,0.08598845
TEST_00215,0.05446909,0.9455309
TEST_00216,0.9955989,0.0044010296
TEST_00217,0.016110009,0.98389006
TEST_00218,0.9785039,0.021496158
TEST_00219,0.53964686,0.46035317
TEST_00220,0.5388166,0.4611834
